Date,Clicks,Impressions,CTR,Position
2026-07-07,24,664,3.61%,10.4
2026-07-08,26,888,2.93%,10.2
2026-07-09,40,986,4.06%,9.4
2026-07-10,77,2239,3.44%,7.8
2026-07-11,77,2057,3.74%,8.2
2026-07-12,40,1271,3.15%,9
2026-07-13,24,865,2.77%,9.6
2026-07-14,17,816,2.08%,9.3
2026-07-15,40,856,4.67%,9.1
2026-07-16,44,908,4.85%,7.8
2026-07-17,90,2144,4.2%,7.5
2026-07-18,166,3346,4.96%,11.1
2026-07-19,97,2055,4.72%,9.4
2026-07-20,29,1027,2.82%,8.8
2026-07-21,43,992,4.33%,7.7
2026-07-22,41,1163,3.53%,8.5
2026-07-23,46,1276,3.61%,7.7
2026-07-24,140,2911,4.81%,8
2026-07-25,124,3401,3.65%,7.5
2026-07-26,103,2771,3.72%,7.7
2026-07-27,42,1120,3.75%,8.4
2026-07-28,41,1111,3.69%,8.7
2026-07-29,33,1222,2.7%,9.2
2026-07-30,60,1432,4.19%,8.3
2026-07-31,129,2784,4.63%,7.5
2026-08-01,175,3334,5.25%,7.7
2026-08-02,87,2373,3.67%,8
2026-08-03,23,984,2.34%,8.9
