Country,Clicks,Impressions,CTR,Position
Switzerland,1678,35818,4.68%,8.51
Germany,78,2579,3.02%,7.56
France,52,1308,3.98%,7.93
Italy,15,587,2.56%,7.48
United States,8,1306,0.61%,8.25
Netherlands,5,1378,0.36%,5.29
Spain,5,195,2.56%,7.75
Austria,5,172,2.91%,8.6
United Kingdom,4,1563,0.26%,6.19
Belgium,3,66,4.55%,8.17
Romania,2,56,3.57%,5.86
Denmark,2,48,4.17%,6.96
Morocco,2,46,4.35%,15
Portugal,2,35,5.71%,7.14
Bosnia & Herzegovina,2,11,18.18%,7.09
Moldova,2,8,25%,4.5
Turkey,1,117,0.85%,6.47
Canada,1,53,1.89%,8.17
Ireland,1,45,2.22%,9.31
Greece,1,42,2.38%,6.21
Israel,1,28,3.57%,11.61
Australia,1,20,5%,7.8
Albania,1,19,5.26%,11.05
Kosovo,1,18,5.56%,5.61
Czechia,1,18,5.56%,6.44
Hong Kong,1,17,5.88%,5.59
Luxembourg,1,12,8.33%,7.17
Tunisia,1,9,11.11%,6.56
Nepal,1,6,16.67%,19.17
India,0,146,0%,25.53
Vietnam,0,76,0%,25.59
Poland,0,71,0%,6.44
Indonesia,0,70,0%,32.56
Philippines,0,67,0%,33.78
Ukraine,0,56,0%,9.62
Algeria,0,45,0%,8.11
South Korea,0,45,0%,29.24
Hungary,0,44,0%,7.89
Brazil,0,42,0%,14.64
Sweden,0,34,0%,6.68
Russia,0,29,0%,22.93
Croatia,0,27,0%,6
Serbia,0,25,0%,6.8
Singapore,0,25,0%,8.24
Saudi Arabia,0,25,0%,13.16
Egypt,0,23,0%,5.52
United Arab Emirates,0,23,0%,6.43
Mexico,0,23,0%,17.65
Japan,0,21,0%,7.33
Thailand,0,21,0%,17.71
Finland,0,20,0%,6.45
Colombia,0,19,0%,19.11
Azerbaijan,0,18,0%,5.56
Bangladesh,0,18,0%,27.94
Malaysia,0,17,0%,12.47
Macedonia,0,16,0%,7.62
Lithuania,0,15,0%,7.67
Slovenia,0,15,0%,11.47
Ecuador,0,14,0%,9.71
Liechtenstein,0,14,0%,13.29
Slovakia,0,13,0%,8.15
Pakistan,0,13,0%,18.54
Iraq,0,12,0%,5.75
Norway,0,12,0%,7.58
Argentina,0,12,0%,13.25
South Africa,0,12,0%,14.5
Uzbekistan,0,11,0%,11.09
Bulgaria,0,10,0%,5.1
Lebanon,0,10,0%,6.5
China,0,10,0%,7.7
Nigeria,0,10,0%,10.6
Armenia,0,8,0%,7
Jordan,0,8,0%,7.5
Peru,0,8,0%,18.62
Kuwait,0,7,0%,6.86
Georgia,0,7,0%,7.43
Chile,0,7,0%,13.14
Ethiopia,0,7,0%,14.71
Taiwan,0,7,0%,17.29
Estonia,0,6,0%,7.17
Iran,0,6,0%,17.33
Guatemala,0,6,0%,44
Cyprus,0,5,0%,4
Qatar,0,5,0%,4.2
Oman,0,5,0%,5.8
Tanzania,0,5,0%,6.2
Iceland,0,5,0%,7.6
Venezuela,0,5,0%,14.8
Montenegro,0,4,0%,5
Latvia,0,4,0%,5.75
Malta,0,4,0%,7.25
Bolivia,0,4,0%,37.5
Palestine,0,3,0%,5
Angola,0,3,0%,5.33
Senegal,0,3,0%,5.67
Belarus,0,3,0%,6
Mongolia,0,3,0%,6
Kenya,0,3,0%,8.67
Sri Lanka,0,3,0%,11
Bahrain,0,3,0%,18.67
Dominican Republic,0,3,0%,34.67
Honduras,0,3,0%,45
Zimbabwe,0,2,0%,2.5
New Zealand,0,2,0%,4.5
Yemen,0,2,0%,5
Burkina Faso,0,2,0%,22.5
Ghana,0,2,0%,27.5
Unknown Region,0,1,0%,1
Greenland,0,1,0%,2
Puerto Rico,0,1,0%,3
Uruguay,0,1,0%,3
Cuba,0,1,0%,4
Zambia,0,1,0%,4
Afghanistan,0,1,0%,5
Botswana,0,1,0%,5
Costa Rica,0,1,0%,5
Libya,0,1,0%,5
Congo - Brazzaville,0,1,0%,6
San Marino,0,1,0%,6
Monaco,0,1,0%,7
Mauritius,0,1,0%,9
Somalia,0,1,0%,9
South Sudan,0,1,0%,9
Congo - Kinshasa,0,1,0%,10
Madagascar,0,1,0%,11
Côte d’Ivoire,0,1,0%,14
Cambodia,0,1,0%,14
Panama,0,1,0%,26
Myanmar (Burma),0,1,0%,39
Paraguay,0,1,0%,39
Antigua & Barbuda,0,1,0%,81
