Top pages,Clicks,Impressions,CTR,Position
https://www.fleafind.ch/de/schweiz/zuerich,184,4503,4.09%,10.3
https://www.fleafind.ch/de/schweiz/basel/dieses-wochenende,147,892,16.48%,11.32
https://www.fleafind.ch/de/schweiz/luzern,119,2304,5.16%,7.07
https://www.fleafind.ch/de/markt/flohmarkt-mosergarten-schaffhausen,81,973,8.32%,5.31
https://www.fleafind.ch/de/schweiz/bern/sonntag,75,2055,3.65%,9.14
https://www.fleafind.ch/de/schweiz/winterthur/samstag,69,2008,3.44%,7.44
https://www.fleafind.ch/de/markt/nerdyartist-markthalle-basel,49,158,31.01%,3.59
https://www.fleafind.ch/en/schweiz/zuerich/this-weekend,46,645,7.13%,12.1
https://www.fleafind.ch/de/schweiz/basel,44,2440,1.8%,13.02
https://www.fleafind.ch/de/markt/flohmarkt-muensterplatz-bern,42,406,10.34%,10.53
https://www.fleafind.ch/en/schweiz/lausanne,39,348,11.21%,12.5
https://www.fleafind.ch/de/markt/flohmarkt-petersplatz-basel,37,2799,1.32%,8.7
https://www.fleafind.ch/de/schweiz/zuerich/samstag,36,1329,2.71%,11.15
https://www.fleafind.ch/fr/markt/vide-dressing-flon-lausanne,32,370,8.65%,5.64
https://www.fleafind.ch/de/markt/flosch-schwamendingen-zuerich/2026-07-25,30,384,7.81%,4.19
https://www.fleafind.ch/de/schweiz/lausanne,29,242,11.98%,6.23
https://www.fleafind.ch/de/maerkte/dimanche,27,174,15.52%,13.7
https://www.fleafind.ch/de/maerkte/2026-07-25,25,97,25.77%,6.15
https://www.fleafind.ch/de/markt/flohmarkt-rathausplatz-wettingen,24,816,2.94%,4.27
https://www.fleafind.ch/de/markt/flohmarkt-kanzlei-zuerich/2026-08-01,21,178,11.8%,5.02
https://www.fleafind.ch/en,20,973,2.06%,12.84
https://www.fleafind.ch/de/markt/flohmarkt-seeplatz-waedenswil/2026-07-11,19,660,2.88%,6.21
https://www.fleafind.ch/fr/markt/marche-calabash-lausanne/2026-08-02,18,395,4.56%,6.06
https://www.fleafind.ch/en/schweiz/zuerich,17,759,2.24%,9.03
https://www.fleafind.ch/de/markt/flohmarkt-gallusplatz-stgallen,17,614,2.77%,10.32
https://www.fleafind.ch/de/schweiz/bern/samstag,16,478,3.35%,11.05
https://www.fleafind.ch/de,15,746,2.01%,32.77
https://www.fleafind.ch/fr/markt/coffre-ouvert-villeneuve,14,466,3%,7.48
