Date,Clicks,Impressions,CTR,Position
2026-05-04,17,487,3.49%,10
2026-05-05,14,514,2.72%,11
2026-05-06,7,556,1.26%,13.2
2026-05-07,15,675,2.22%,9.1
2026-05-08,33,1315,2.51%,9.1
2026-05-09,49,1546,3.17%,8.3
2026-05-10,26,953,2.73%,8.3
2026-05-11,24,523,4.59%,11.1
2026-05-12,20,556,3.6%,10.9
2026-05-13,45,710,6.34%,8.9
2026-05-14,56,974,5.75%,8.5
2026-05-15,61,1661,3.67%,9.8
2026-05-16,50,1993,2.51%,9.4
2026-05-17,34,1405,2.42%,8.4
2026-05-18,15,784,1.91%,9.4
2026-05-19,16,531,3.01%,9.8
2026-05-20,17,519,3.28%,9
2026-05-21,18,533,3.38%,10.7
2026-05-22,58,1334,4.35%,8.6
2026-05-23,43,1427,3.01%,8.5
2026-05-24,19,889,2.14%,9.4
2026-05-25,20,672,2.98%,8.9
2026-05-26,13,607,2.14%,8.6
2026-05-27,15,710,2.11%,9.8
2026-05-28,14,731,1.92%,9
2026-05-29,51,1774,2.87%,8.3
2026-05-30,55,2216,2.48%,8.3
2026-05-31,41,1533,2.67%,8.3
2026-06-01,18,628,2.87%,8.4
2026-06-02,22,579,3.8%,9.8
2026-06-03,19,693,2.74%,10.6
2026-06-04,38,770,4.94%,8.3
2026-06-05,64,1973,3.24%,7.7
2026-06-06,100,2498,4%,7.6
2026-06-07,49,1597,3.07%,8.3
2026-06-08,13,695,1.87%,9.3
2026-06-09,18,645,2.79%,9.3
2026-06-10,17,686,2.48%,8.5
2026-06-11,25,841,2.97%,8.1
2026-06-12,46,1856,2.48%,8.9
2026-06-13,61,1774,3.44%,8.5
2026-06-14,31,1162,2.67%,9.8
2026-06-15,11,569,1.93%,10.7
2026-06-16,14,1392,1.01%,18.8
2026-06-17,17,632,2.69%,12.8
2026-06-18,8,515,1.55%,9.5
2026-06-19,40,1288,3.11%,8.3
2026-06-20,44,1424,3.09%,8.3
2026-06-21,26,888,2.93%,8.6
2026-06-22,15,507,2.96%,9.2
2026-06-23,16,574,2.79%,8.8
2026-06-24,16,534,3%,9.7
2026-06-25,21,595,3.53%,9.2
2026-06-26,52,1425,3.65%,8.2
2026-06-27,38,1640,2.32%,8.4
2026-06-28,29,1148,2.53%,8.6
2026-06-29,20,551,3.63%,11.1
2026-06-30,16,713,2.24%,12.8
2026-07-01,26,653,3.98%,8.9
2026-07-02,30,850,3.53%,9
2026-07-03,83,2238,3.71%,7.7
2026-07-04,119,2634,4.52%,7.9
2026-07-05,81,1921,4.22%,8
2026-07-06,15,823,1.82%,10.3
2026-07-07,24,664,3.61%,10.4
2026-07-08,26,888,2.93%,10.2
2026-07-09,40,986,4.06%,9.4
2026-07-10,77,2239,3.44%,7.8
2026-07-11,77,2057,3.74%,8.2
2026-07-12,40,1271,3.15%,9
2026-07-13,24,865,2.77%,9.6
2026-07-14,17,816,2.08%,9.3
2026-07-15,40,856,4.67%,9.1
2026-07-16,44,908,4.85%,7.8
2026-07-17,90,2144,4.2%,7.5
2026-07-18,166,3346,4.96%,11.1
2026-07-19,97,2055,4.72%,9.4
2026-07-20,29,1027,2.82%,8.8
2026-07-21,43,992,4.33%,7.7
2026-07-22,41,1163,3.53%,8.5
2026-07-23,46,1276,3.61%,7.7
2026-07-24,140,2911,4.81%,8
2026-07-25,124,3401,3.65%,7.5
2026-07-26,103,2771,3.72%,7.7
2026-07-27,42,1120,3.75%,8.4
2026-07-28,41,1111,3.69%,8.7
2026-07-29,33,1222,2.7%,9.2
2026-07-30,60,1432,4.19%,8.3
2026-07-31,129,2784,4.63%,7.5
2026-08-01,175,3334,5.25%,7.7
2026-08-02,87,2373,3.67%,8
2026-08-03,23,984,2.34%,8.9
