Top pages,Clicks,Impressions,CTR,Position
https://www.fleafind.ch/de/schweiz/luzern,417,8699,4.79%,7.47
https://www.fleafind.ch/de/schweiz/zuerich,334,9540,3.5%,11.86
https://www.fleafind.ch/de/schweiz/winterthur/samstag,157,5479,2.87%,8.2
https://www.fleafind.ch/de/schweiz/basel/dieses-wochenende,147,894,16.44%,11.31
https://www.fleafind.ch/de/markt/flohmarkt-mosergarten-schaffhausen,134,1866,7.18%,5.9
https://www.fleafind.ch/de/schweiz/basel,127,6018,2.11%,15.45
https://www.fleafind.ch/de/schweiz/bern/sonntag,120,3583,3.35%,10.47
https://www.fleafind.ch/de/markt/flohmarkt-petersplatz-basel,83,6994,1.19%,9.8
https://www.fleafind.ch/de/schweiz/zuerich/samstag,75,2327,3.22%,13.7
https://www.fleafind.ch/en/schweiz/lausanne,75,1274,5.89%,11.72
https://www.fleafind.ch/de/schweiz/lausanne,75,674,11.13%,7.88
https://www.fleafind.ch/de/markt/flohmarkt-am-see-wollishofen-zuerich/2026-07-05,69,725,9.52%,5.52
https://www.fleafind.ch/de/markt/flohmarkt-rathausplatz-wettingen,67,2662,2.52%,5.83
https://www.fleafind.ch/de/markt/flohmarkt-muensterplatz-bern,65,922,7.05%,10.71
https://www.fleafind.ch/de/markt/nerdyartist-markthalle-basel,57,213,26.76%,6.65
https://www.fleafind.ch/de/markt/floh-troedlermarkt-winterthur-altstadt,53,3064,1.73%,9.86
https://www.fleafind.ch/de/schweiz/bern/samstag,51,1227,4.16%,13.53
https://www.fleafind.ch/en/schweiz/zuerich,47,2734,1.72%,9.51
https://www.fleafind.ch/en/schweiz/zuerich/this-weekend,46,645,7.13%,12.1
https://www.fleafind.ch/fr/markt/vide-dressing-flon-lausanne,44,845,5.21%,6.57
https://www.fleafind.ch/en,40,1540,2.6%,12.2
https://www.fleafind.ch/de/maerkte/2026-05-14,35,152,23.03%,4.19
https://www.fleafind.ch/de/markt/flohmarkt-seeplatz-waedenswil/2026-07-11,32,2036,1.57%,6.88
https://www.fleafind.ch/de/schweiz/st-gallen,32,1516,2.11%,16.95
https://www.fleafind.ch/de/markt/flosch-schwamendingen-zuerich/2026-07-25,30,398,7.54%,4.22
https://www.fleafind.ch/de/markt/floh-raritaetenmarkt-europaplatz-bern,27,1432,1.89%,9.19
https://www.fleafind.ch/de/maerkte/dimanche,27,174,15.52%,13.7
https://www.fleafind.ch/de/markt/flohmarkt-dampfzentrale-bern/2026-09-27,25,3265,0.77%,6.95
https://www.fleafind.ch/fr/schweiz/basel,25,736,3.4%,10.36
https://www.fleafind.ch/de/maerkte/2026-07-25,25,106,23.58%,6.13
https://www.fleafind.ch/de/markt/flohmarkt-kanzlei-zuerich/2026-08-01,22,185,11.89%,4.96
https://www.fleafind.ch/de/maerkte/juni-2026,21,477,4.4%,8.47
https://www.fleafind.ch/de/markt/flohmarkt-gallusplatz-stgallen,20,745,2.68%,10.32
https://www.fleafind.ch/fr/markt/vide-grenier-place-de-milan-lausanne,20,600,3.33%,5.01
https://www.fleafind.ch/en/schweiz/nyon,19,346,5.49%,9.88
https://www.fleafind.ch/de/markt/flohmarkt-am-see-wollishofen-zuerich/2026-06-07,18,474,3.8%,7.9
