Country,Clicks,Impressions,CTR,Position
Switzerland,89,7154,1.24%,9.55
France,4,97,4.12%,11.07
Italy,1,79,1.27%,9.72
Germany,0,151,0%,9.94
United States,0,85,0%,9.39
United Kingdom,0,32,0%,13.22
Austria,0,27,0%,12.63
Netherlands,0,23,0%,8.3
India,0,12,0%,46
Morocco,0,11,0%,5.82
Brazil,0,10,0%,32.4
Spain,0,9,0%,15.22
Ireland,0,8,0%,7.38
Indonesia,0,8,0%,29.88
Romania,0,7,0%,6.71
Denmark,0,6,0%,6.83
Hungary,0,6,0%,14.5
Turkey,0,6,0%,16.67
Ukraine,0,6,0%,26.33
Philippines,0,5,0%,34.6
Bangladesh,0,5,0%,58.6
Japan,0,4,0%,6.75
Moldova,0,4,0%,10.75
Canada,0,4,0%,29.75
Liechtenstein,0,3,0%,2.67
Croatia,0,3,0%,7.67
Hong Kong,0,3,0%,8.33
Greece,0,3,0%,9
Portugal,0,3,0%,9.33
Serbia,0,3,0%,9.33
Slovakia,0,3,0%,11.33
Argentina,0,3,0%,18.33
Colombia,0,3,0%,46.33
Poland,0,2,0%,4.5
Bosnia & Herzegovina,0,2,0%,5.5
Azerbaijan,0,2,0%,6.5
Malaysia,0,2,0%,7.5
Saudi Arabia,0,2,0%,8.5
Australia,0,2,0%,9
Côte d’Ivoire,0,2,0%,9.5
Sweden,0,2,0%,11
Vietnam,0,2,0%,13
Tunisia,0,2,0%,14
Bulgaria,0,2,0%,24.5
Egypt,0,2,0%,27
Israel,0,2,0%,28
Taiwan,0,2,0%,42
Pakistan,0,2,0%,61
United Arab Emirates,0,1,0%,2
Latvia,0,1,0%,2
Nigeria,0,1,0%,2
Russia,0,1,0%,5
Belgium,0,1,0%,6
Mexico,0,1,0%,6
Singapore,0,1,0%,7
Benin,0,1,0%,8
Chile,0,1,0%,8
Lithuania,0,1,0%,9
Slovenia,0,1,0%,9
Iceland,0,1,0%,11
Luxembourg,0,1,0%,11
Norway,0,1,0%,11
Georgia,0,1,0%,23
Belarus,0,1,0%,24
South Africa,0,1,0%,38
South Korea,0,1,0%,41
Ecuador,0,1,0%,48
Peru,0,1,0%,100
