# ----------------------------------------
# Reports snapshot
# Account: FleaFind
# Property: FleaFind
# ----------------------------------------
#  
# Start date: 20260708
# End date: 20260804
Active users,New users,Average engagement time per active user,Event count
522,499,48.934865900383144,4801

#  
# Start date: 20260708
# End date: 20260804
Page title and screen class,Views,Active users,Event count,Bounce rate
Flea Markets in Switzerland 2026 — Verified Dates & Locations | FleaFind,110,23,173,0.2702702702702703
Flohmarkt Zürich 2026: Termine in Zürich & Umgebung | FleaFind,99,44,175,0.16326530612244897
Flohmärkte in der Schweiz 2026 — Termine & Öffnungszeiten | FleaFind,65,24,112,0.13793103448275862
Flohmarkt Luzern 2026 - Termine & Standorte | FleaFind,57,25,104,0.2222222222222222
Flohmarkt Basel 2026 - Termine & Standorte | FleaFind,46,15,79,0.3333333333333333
Flea Markets in Switzerland 2026 — All Cities & Dates | FleaFind,43,9,51,0.09090909090909091
Flohmarkt heute in der Schweiz — Aktuelle Termine | FleaFind,43,16,52,0.0625
Flea Markets in Basel 2026 - Dates & Locations | FleaFind,41,5,47,0.14285714285714285
Flea market today in Switzerland — Current dates | FleaFind,38,11,55,0.16666666666666666
Alle Flohmärkte Schweiz 2026 — Städte & Termine | FleaFind,37,12,46,0.16666666666666666
fundus Flohmarkt ARENA Root am 19. Juli 2026 – Öffnungszeiten & Infos,35,11,43,0.05555555555555555
Flea Markets in Lausanne 2026 - Dates & Locations | FleaFind,33,12,54,0.07692307692307693
Flohmarkt Bern 2026 - Termine & Standorte | FleaFind,30,14,54,0.26666666666666666
"2 Flohmärkte am Sonntag, 19. Juli 2026 | FleaFind",27,7,46,0.08333333333333333
Flohmarkt Basel - 31. Juli - 2. August 2026,27,10,48,0.1
Flohmarkt Mosergarten am 1. August 2026 – Öffnungszeiten & Infos,27,10,37,0.16666666666666666
Flohmarkt Bürkliplatz am 25. Juli 2026 – Öffnungszeiten & Infos,23,8,34,0.25
Rosenhof-Markt am 1. August 2026 – Öffnungszeiten & Infos,23,11,37,0.16666666666666666
Flea Markets Zurich 2026: Dates in Zurich & Surroundings | FleaFind,21,10,29,0
Flohmarkt Dampfzentrale am 26. Juli 2026 – Öffnungszeiten & Infos,21,15,43,0.06666666666666667
Flohmarkt Mosergarten – Alle Termine 2026,21,18,81,0.22727272727272727
"2 Flohmärkte am Sonntag, 26. Juli 2026 | FleaFind",19,3,22,0
Floh- und Antiquitaetenmarkt (Schadaumaerit) am 19. Juli 2026 – Öffnungszeiten & Infos,19,7,24,0
FLOSCH Schwamendingen Flohmarkt am 25. Juli 2026 – Öffnungszeiten & Infos,17,8,22,0.125
Marché aux puces de Plainpalais (Erster Sonntag) am 2. August 2026 – Öffnungszeiten & Infos,17,6,22,0
NerdYartist – Alle Termine 2026,17,17,64,0.5294117647058824
Vide-Dressing du Flon – Toutes les dates 2026,17,11,44,0.45454545454545453
20 Flohmärkte am 24. Juli - 26. Juli 2026 | FleaFind,16,2,24,0
Flohmarkt Bern Sonntag - Termine 2026 | FleaFind,15,9,33,0.2222222222222222
Flohmarkt Münsterplatz – Alle Termine 2026,15,13,58,0.4666666666666667
"1 Flohmarkt am Donnerstag, 14. Mai 2026 | FleaFind",14,1,16,0
23 flea markets on 4 August - 10 August 2026 | FleaFind,14,1,15,0.5
"Flohmarkt Bürkliplatz on July 18, 2026 – Opening Hours & Info",14,4,15,0
